,ip,port
0,51.91.157.66,80
1,221.132.28.18,8090
2,121.1.41.162,111
3,50.169.135.10,80
4,50.206.111.91,80
5,50.237.89.162,80
6,50.227.121.39,80
7,50.239.72.19,80
8,50.217.226.47,80
9,195.23.57.78,80
10,50.235.240.86,80
11,91.249.134.148,80
12,50.217.153.73,80
13,50.217.153.78,80
14,45.14.174.37,80
15,91.226.97.122,80
16,203.32.120.39,80
17,203.34.28.40,80
18,203.32.120.1,80
19,203.30.190.163,80
20,185.162.228.102,80
21,23.227.38.26,80
22,45.8.105.237,80
23,203.30.188.127,80
24,45.8.106.69,80
25,203.30.191.183,80
26,45.8.105.63,80
27,203.22.223.40,80
28,45.8.106.198,80
29,203.30.191.142,80
30,45.8.104.223,80
31,203.24.108.209,80
32,141.193.213.226,80
33,172.64.84.228,80
34,172.66.47.23,80
35,159.112.235.185,80
36,203.32.120.189,80
37,85.26.146.169,80
38,203.23.106.222,80
39,185.162.230.23,80
40,45.8.106.60,80
41,203.30.189.44,80
42,23.227.38.228,80
43,203.30.190.205,80
44,45.8.107.24,80
45,203.24.109.184,80
46,203.32.120.174,80
47,45.12.31.7,80
48,203.28.9.171,80
49,185.162.231.170,80
50,23.227.38.31,80
51,203.13.32.164,80
52,203.30.188.92,80
53,23.227.38.63,80
54,203.28.8.90,80
55,23.227.38.61,80
56,203.23.104.2,80
57,203.30.190.72,80
58,203.23.106.150,80
59,203.23.106.232,80
60,103.21.244.181,80
61,103.21.244.50,80
62,103.21.244.54,80
63,172.64.131.16,80
